Seq 1,Seq 2,Author Last Name,Title,Date Published,Seq 3,Seq 4,Brief Description,Seq 5,Empty 1,,Storage,Publication Place,Empty 2,Edition,Seq 7,Seq 8,Binding Size Pagination,Content,Provenance,Notes,Empty 3,Author,Condition,Boolean 1,Boolean 2,Date Acquired,Another Date,Stuff 1,Empty 4,Place,Empty 5,Empty 6,Seq 9
4524,2138a,"Cubas, Antonio Garcia; Castro, Casimiro",Album del Ferrocarril Mexicano : colección de vistas pintadas del natural; Album of the Mexican Railway : a collection of views taken from nature,1877,6,102,Mexican railways,6,,1,Library,Mexico,,0,1980,19,"Full cloth, decorated cover, 49 x 35 cm, [halftitle][litograph frontis with title][title], 56 pgs, double page map, [second title], 18 pgs",,,Combined spanish and english text interleaved with plates. French text follows as separate section.,,"Cubas, Antonio Garcia",Good,,,2/23/2019,2/22/2020,,,On shelf,,,0
4525,2138b,"Cubas, Antonio Garcia; Castro, Casimiro; Gostkowski, G.",Album du chemin de fer mexicain : collection de vues peintes d'après nature,1877,6,102,Mexican railways,6,,1,Library,Mexico,,0,1980,19,"Full cloth, decorated cover, 49 x 35 cm, [halftitle][litograph frontis with title][title], 56 pgs, double page map, [second title], 18 pgs",,,Combined spanish and english text interleaved with plates. French text follows as separate section.,,"Cubas, Antonio Garcia",Good,,,2/23/2019,2/22/2020,,,On shelf,,,0
4526,2139,"Hasse, Johann Wilhelm",Beschreibung sieben Arten von Ramm-Maschinen ... nebst bemeldten Herrn Haasens nachgeschickten Zusätzen und noch drey andern Abhandlungen,1771,7,111,Pile driving,11,,1,Library,Berlin,,0,1981,8,"Full leather, 17 x 21 cm, [title], xii, 68 pgs, 19 folding plates, folio (pg 65 to 68) misplaced at x",,"Previous owner stamp, Chri (?) Ohmeyer; Kuhn",,,"Hasse, Johann Wilhelm","Good, covers sprung",Yes,,2/23/2019,,,,On shelf,,,0
4527,2140,"Persy, Nicolas",Cours sur la stabilité des constructions à l'usage des élèves de l'École royale de l'artillerie et du génie,1825,6,59,Structural design,16,,1,Library,Metz,,0,1963,2,"Plain paer wrap with title label pasted on cover, 20 x 34 cm, lithographed notes, [title], 62 pgs, 1 folding plate",,"Library stamp, Koneblige Artilleriecorps Bibliothek; Kuhn",,,"Persy, Nicolas",Good,Yes,,2/23/2019,,,,On shelf,,,0
4528,2141.01,"Rothe, Johann Friedrich Carl","Beiträge zur Maschinen-Baukunde / 1, Wasserförderungs-Maschinen durch die bewegende Kraft des Wassers, des Windes und des Wasserdampfes betreffend",1827,6,11,Hydaulic design,11,,1,Library,Berlin,,1st,1982,8,"Half leather with marbled paper on boards, 22 x 27 cm, [title], vi, 2 pps, 64 pgs, [second title], iv, 2 pps, 89 pgs, 2 pps",,"Library stamp, Kaupt Conservatorium; Kuhn","Two volumes of text (volume 1, 1827; volume 2, 1830) bound together, corresponding altas volumes bound seperately",,"Rothe, Johann Friedrich Carl",Good,Yes,,2/23/2019,,,,On shelf,,,0
4529,2141.02,"Rothe, Johann Friedrich Carl","Beiträge zur Maschinen-Baukunde,  volume 2",1830,6,11,Hydaulic design,11,,1,Library,Berlin,,1st,1983,8,"Half leather with marbled paper on boards, 22 x 27 cm, [title], vi, 2 pps, 64 pgs, [second title], iv, 2 pps, 89 pgs, 2 pps",,"Library stamp, Kaupt Conservatorium; Kuhn","Two volumes of text (volume 1, 1827; volume 2, 1830) bound together, corresponding altas volumes bound seperately",,"Rothe, Johann Friedrich Carl",Good,Yes,,2/23/2019,,,,On shelf,,,0
4530,2141.03,"Rothe, Johann Friedrich Carl","Beiträge zur Maschinen-Baukunde,  Altas (volume 1)",1827,6,11,Hydaulic design,11,,1,Library,Berlin,,1st,1982,8,"Printed paper wrap, 39 x 49 cm, 8 plates",,Kuhn,"Two volumes of text (volume 1, 1827; volume 2, 1830) bound together, corresponding altas volumes bound seperately",,"Rothe, Johann Friedrich Carl",Good,Yes,,2/23/2019,2/23/2019,,,On shelf,,,0
4531,2141.04,"Rothe, Johann Friedrich Carl","Beiträge zur Maschinen-Baukunde,  Altas (volume 2)",1830,6,11,Hydaulic design,11,,1,Library,Berlin,,1st,1983,8,"Marbled paper folder with title label pasted on, printed paper cover bound in, 35 x 43 cm, 12 plates",,Previous shelf mark; Kuhn,"Two volumes of text (volume 1, 1827; volume 2, 1830) bound together, corresponding altas volumes bound seperately",,"Rothe, Johann Friedrich Carl",Good,Yes,,2/23/2019,,,,On shelf,,,0
4532,2142,"Berthault-Ducreux, 	Alexandre","Mémoire sur la nécessité d'une liberté illimitée dans les charges du roulage, et sur les moyens pratiques de maintenir les routes en parfait état, avec cette liberté, sans acroitre la dépense",1833,6,44,Traffic management,11,,1,Library,Paris,,0,949,2,"Printed wrap, cloth slipcase, 14 x 21 cm, [half title][title], 82 pgs",,Authour inspcription to M. Canat; Kuhn,,,"Berthault-Ducreux, 	Alexandre","Good, slipcase by Felton",Yes,,2/23/2019,11/23/2019,,,On shelf,,,0
4533,2143,"Morri, Giuseppe",Riflessioni istoriche e fisiche sul naviglio di Faenza,1796,7,113,Faenza,11,,1,Library,Lugo,,0,1984,11,"Carta rustica, 16 x 23 cm, [title], 1 pp, 109 pgs, [colophon], 1 folding map",,Rovito,,,"Morri, Giuseppe",Good,Yes,,2/23/2019,4/11/2019,,,On shelf,,,0
