Seq 1,Seq 2,Author Last Name,Title,Date Published,Seq 3,Seq 4,Brief Description,Seq 5,Empty 1,,Storage,Publication Place,Empty 2,Edition,Seq 7,Seq 8,Binding Size Pagination,Content,Provenance,Notes,Empty 3,Author,Condition,Boolean 1,Boolean 2,Date Acquired,Another Date,Stuff 1,Empty 4,Place,Empty 5,Empty 6,Seq 9
4571,2175,"Germain, Sophie",Examen des principes qui peuvent conduire a la connaissance des lois de l'equilibre et du mouvement des solides elastiques,1828,6,125,Elasticity,11,,1,Library,Paris,,0,1998,2,"Half leather, 13 x 20.5 cm, pg 123 to 131",,Coltham,"In Annales de Chimie et de Physique, tome xxxviii, Paris, 1828",,"Germain, Sophie",Very good,Yes,,3/30/2019,5/30/2020,,,On shelf,,,0
4572,2176,"Stephenson, George",A description of the safety lamp invented by George Stephenson and now in use in Killingworth colliery : to which is added an account of the lamp constructed by Sir Humphrey Davy,1817,6,70,Safety lamp,11,,1,Library,London,,0,611,1,"Plain paper wrap, 13 21 cm, [title]16 pgs, 4 plates",,Cotham,,,"Stephenson, George",Very good,Yes,,3/30/2019,5/30/2020,,,On shelf,,,0
4573,2177,"Parsons, Catherine",The woman engineer,1924,6,30,Women engineers,3,,4,Archive,London,,0,177,1,"Typscript letter on printed letterhead, 20.5 x 26 cm, 5 sheets (recto  only) and printed single sheet 13 x 21 cm, folded",,Coltham,,,"Parsons, Catherine",Very good,Yes,,3/30/2019,5/30/2020,,,On shelf,,,0
4574,2178,"Kowalevski, Sophie",Sur une propriete du systeme d'equations differentielles qui definit la rotation d'un corps solide autour d'un point fixe,1890,6,125,Solid bodies rotation,11,,1,Library,Stockholm,,0,1999,2,"Half cloth, marbled paper on boards, 23 x 29 cm, pg. 81 to 93",,Coltham,"In Acta Mathematica, Journal, pg, 81 to 93",,"Kowalevski, Sophie",Very good,Yes,,3/30/2019,5/30/2020,,,On shelf,,,0
4575,2179,"Walker, James","River Tyne improvement. Piers at entrance. Mr. Walker's report and plan, dated 15th November, 1853",1854,6,50,River Tyne entrance piers,11,,1,Library,Westminister,,0,2000,1,"Plain wraps with pasted on title, 13.5 x21 cm, [title], 24 pgs, 2 folding maps",,Phillips,,,"Walker, James",Very good,Yes,,3/31/2019,5/30/2020,,,On shelf,,,0
4576,2180,"Grainger, Richard","A proposal for concentrating the termini of the Newcastle and Carlisle, the Great north of England and proposed Edinburgh railways; and for providing spacious and eligible depots ... from these several railways to the town of Newcastle",1836,6,102,"Newcastle, Carlisle, Great North",11,,1,Library,Newcastle,,0,2001,1,"Plain wraps with pasted on title, 13.5 x 21 cm, 1 folding map, [title], 8 pgs",,Phillips,,,"Grainger, Richard",Very good,Yes,,3/31/2019,5/30/2020,,,On shelf,,,0
4577,2181,"Sowerby, William",Description of Harlow and Young's Patent Atmospheric Railway. With observations on the atmospheric system.,1848,6,101,Atmospheric railway,11,,1,Library,London,,0,1370,1,"Plain wraps with pasted on title, 13.5 x 21 cm, folding plate, [title], 12 pgs",,Phillips,,,"Sowerby, William",Very good,Yes,,3/31/2019,5/30/2020,,,On shelf,,,0
4578,2182,"Macgregor, John","Observations on the river Tyne : with a view to the improvement of its navigation : addressed to the coal owners of the district, the merchants and ship owners of Newcastle, and of North and South Shields",1832,6,50,River Tyne,11,,1,Library,Newcastle,,0,2002,1,"Plain wraps with pasted on title, 13.5 x 21 cm, [title], v, 1 pp, 118 pgs",,Phillips,,,"Macgregor, John",Very good,Yes,,3/31/2019,5/30/2020,,,On shelf,,,0
4580,2183,"Bazaine, Pierre Dominique","Mémoire sur la théorie du mouvement des barques à vapeur et sur leur application à la navigation des canaux, des fleuves et des rivières",1817,6,106,Steam power,11,,1,Library,St. Petersbourg,,0,2004,2,"Full leather, 22 x 26 cm, [title], 79 pgs, 3 folding plates",,Phillips,Probably first publication in Russia regarding steamships - see notes,,"Bazaine, Pierre Dominique","Good, title guarded",Yes,,3/31/2019,5/30/2020,,,On shelf,,,0
4582,2184,"Rennie, John","Report concerning the different lines surveyed by Messrs. John Ainslie & Robert Whitworth, jun., for a canal proposed to be made between the cities of Edinburgh and Glasgow",1797,7,124,Edinburgh to Glasgow canal,11,,1,Library,Edinburgh,,0,177,1,"Leather backed, cloth, 21.5 x 27 cm, [title], 12 pgs",,Phillips,,,"Rennie, John",Very good,Yes,,3/31/2019,5/30/2020,,,On shelf,,,0
4583,2185,"Skjoldebrand, Anders Frederik","Description des cataractes et du canal de Trollhätta, en Suède, avec un précis historique",1804,6,104,Trollhatta Canal,11,,1,Library,Stockholm,,0,2005,2,"Paper on boards, 22 x 28 cm, [title], 47 pgs, 2 pp, 13 plates",,Phillips,,,"Skjoldebrand, Anders Frederik",Very good,Yes,,3/31/2019,5/30/2020,,,On shelf,,,0
4584,2186,"Telford, Thomas","Report by the Committee of Management, relative to the plans of the new ferry harbours at Dundee and the opposite coast of Fife, proposed by Mr. Telford",1821,6,50,Tay River Ferries,11,,1,Library,Dundee,,0,2006,1,"Full cloth, 23 x 29 cm, [title], 13 pgs, 2 pps, slip (explanation of the plan on the Fife side), 2 folding maps",,"Manuscript note, title page, ""with Mr. Stuarts compliments""; Phillips",Extensive mss marginal notes,,"Telford, Thomas",Very good,yes,,3/31/2019,5/30/2020,,,On shelf,,,0
4585,2187,"Mellet, Francois Noel; Henry, Charles-Joseph; Loire railway","Plan et profil du chemin de fer de la Loire, dresses par les Concessionnaires Directeurs Mellet et Henry",1830,6,102,Loire railway,10,,4,Archive,Roanne,,0,919,2,"Engraved map, 125 x 43 cm, dissected, mounted on linen, folded",,Phillips,,,Loire railway,Very good,Yes,,3/31/2019,5/30/2020,,,Box H,,,0
4586,2188,"Fairbank, William","A plan of the course of the River Dun, from Sheffield to its confluence with the Ouse, shewing all the cuts made & those intended to be made, to facilitate the navigation thereof",1801,6,104,"River Dun, Ouse",10,,4,Archive,Sheffield,,0,919,1,"Engraved map, 93 x 28 cm, hand coloured",,"Signature, Thomas Brooke; Phillips",,,"Fairbank, William",Very good,Yes,,3/31/2019,5/30/2020,,,,,,0
4587,2189,"Clark, Daniel Kinnear",The exhibited machinery of 1862 : a cyclopaedia of the machinery represented at the International Exhibition,1862,6,112,"Machinery, exhibition",2,,1,Library,London,,0,2007,1,"Mauve cloth, blindstamped with gilt centerpiece on cover, 19 x 27.5 cm, [title], xxiv, 447 pgs, 39 plates (on 37 sheets), 1 folding table",,Signature of Harold Illingworth on title; Phillips,Dedicated  to William Fairbairn,,"Clark, Daniel Kinnear",Very good,Yes,,3/31/2019,5/30/2020,,,On shelf,,,0
4588,2190,"Stephenson, Robert; Hawksley, Thomas","Report of Robert Stephenson, civil engineer, on the supply of water to the town of Liverpool : Martch 28th, 1850",1850,6,26,"Liverpool, water supply",11,,1,Library,London,,0,919,1,"Half leather, marbled paper on boards, gilt title pasted on cover, 23 x 29 cm, [title], 89 pgs, folded plate at pg 73/74, 7 folding plates, text interleaved with blanks",,"Mss note, front flyleaf, 'with Robert Stephensons compts'; Phillips",,,"Stephenson, Robert",Very good,Yes,,3/31/2019,5/30/2020,,,On shelf,,,0
4589,2191,"Monte, Guido Ubaldo",Guidi Ubaldi è Marchionibus Montis In duos Archimedis aequeponderantium libros paraphrasis scholijs illustrata,1588,7,120,Mechanics,11,,1,Library,Pesaro,,o,1263,10,"Full vellum, 22 x 32 cm, [title], 2 pps, 202 pgs, [colophon]",,"Ms autograph Andreae Spinulae, ex libris Cardinal Giuseppe Renato Imperiali; Sophia",,,"Monte, Guido Ubaldo",Very good,Yes,,3/31/2019,5/30/2020,,,On shelf,,,0
4590,2192,Various; Italian Hydraulics,"Raccolta d'autori che trattano del moto dell acque, edizione seconda corretta, ed illustrata con annotazioni",1765,7,113,Italian Hydraulics,2,,1,Library,Florence,,2,2008,11,"Full vellum, 20 x 26 cm, 9 volumes, various paginations, folding plates",,Kuhn,Dates range from 1765 to 1774,,Italian Hydraulics,Very good,Yes,,4/6/2019,5/30/2020,,,On shelf,,,0
4591,2193,Bassin de la Villette,"Bassin de la Villette, approfondissement pour un tirant d'eau de 3m20",1878,6,104,Bassin de la Villette,6,,4,Archive,Paris,,0,177,2,"Manuscript drawing on heavy paper, 170 x 31 cm, in paper folder with pasted on mss title, in black and coloured ink with coloured wash, in card folder with ties",,Chamonal,,,Bassin de la Villette,Very Gppd,,,4/6/2019,5/30/2020,,,,,,0
4592,2194,"Carmona, Enrique; Buenos Aires public works","Plano del puerto de Buenos Aires publicado por la direccion del servicio y conservacion con las modificaciones proyectadas de vias, calles y jardines",1902,6,70,Buenos Aires public works,6,,5,Archive,Buenos Aires,,0,177,15,"Printed map, 157 x 100 cm, paper sectioned and laid down on linen, folded, hand coloured, attached in cloth folder",,HS Books,,,Buenos Aires public works,Very good,Yes,,4/6/2019,5/30/2020,,,Box H,,,0
4593,2195,"Faber, S.E.; Deryn, C.T.; Pearson, C.D.","Shanghai and environs, waterways and roads",1930,6,60,Shanghai area watwerways,6,,6,Archive,Shanghai,,0,177,1,"Printed and manuscript maps, on paper and linen, various sizes and formats, some folded",,Crouch,See detailed inventory in finding aid,,"Faber, S.E.",Very good,,,4/6/2019,5/30/2020,,,,,,0
4594,C0967,"Mackenzie, Alexander","Voyages from Montreal : on the river St. Laurence, through the continent of North America, to the frozen and Pacific oceans, in the years 1789 and 1793. With a preliminary account of the rise, progress, and present state of the fur trade",1801,4,8,Trans-continental travel,11,,1,Library,London,,0,2009,1,"Full leather, 22 x 27.5 cm, [half title, with presentation][frontis][title], viii, cxxxii, 412 pgs, [errata, 2 pp], 3 folding maps",,"Presentation copy, 'Joseph Colen",,,Alexander Mackenzie,Very good,Yes,,4/6/2019,,,,On shelf,,,0
4595,C0968,"Simcoe, John Graves","Opinions delivered by the Earl of Essex, Ld Burleigh, Ld Willoughby, Ld Burrough, Ld North, Sir W. Knollys, Sir W. Raleigh, and Sir G. Carew on the alarm of an invasion from Spain in the year 1596, and the measures proper to be taken on that occasion",1803,4,12,Military planning,11,,1,Library,London,,0,177,1,"Full leather, 13.5 x 21 cm, typescript description tipped in, [blank][title with annotations], lx, numerous blanks",,Autograph signature of J.G. Simcoe; ex libris Jacobi P. R. Lyell; ex libris Captain Simcoe; Warren Baker,,,,Very good,Yes,,4/6/2019,,,,,,,0
4596,C0969,Engineering Institute of Canada,General information regarding the institute,1930c,4,12,Engineering Institute of Canada,5,,4,Archive,Montreal,,0,257,1,"Printed wraps, 10 x 19 cm, 31 pgs",,Rovito,,,,Very good,Yes,,4/7/2019,,,,,,,0
4597,S0274,"Dickens, Charles","Speech of Charles Dickens delivered at Gore House, Kensington, May 10, 1851",1909,5,19,Urban sanitation,11,,1,Library,Boston,,0,2010,1,"Printed wraps, 17.5 x 23.5 cm, 17 pgs, unopened, with folio prospectus",,Rovito,,,"Dickens, Charles",Very good,Yes,,4/7/2019,8/5/2019,,,,,,0
4599,2196a,"Perronet, Jean-Rodolphe","Mémoire sur la recherche des moyens que l'on pourroit employer pour construire de grandes arches de pierre ..., qui seroient destinées à franchir de profondes vallées brodées de rochers escarpés",1793,7,111,Arch bridge design,11,,1,Library,Paris,,0,1627,2,"Marbled paper on boards, 21 x 27.5 cm, 4 leaves mss, 1 leaf with autograph presentation from authour, [first title], 1 leaf mms, 44 pgs, 1 leaf mss, 1 folding plate, 2 leaves mss, [second title], 1 leaf mss, 18 pgs, 1 folding plate, 2 leaves mss",,Ex libris Joachim Firmin Janson; presentation from Perronet; Chammonel,Two titles bound in one with mss titles and headings interleaved,,"Perronet, Jean-Rodolphe",Very good,Yes,,4/7/2019,5/30/2020,,,,,,0
4600,2196b,"Perronet, Jean-Rodolphe","Projet d'une arche en pierre, de trente-six pieds d'ouverture, faite á l'imitation des ponts de charpente, pour épargner l'emploi de la pierre et du moëlon",1793,7,111,Arch bridge design,11,,1,Library,Paris,,0,2011,2,"Marbled paper on boards, 21 x 27.5 cm, 4 leaves mss, 1 leaf with autograph presentation from authour, [first title], 1 leaf mms, 44 pgs, 1 leaf mss, 1 folding plate, 2 leaves mss, [second title], 1 leaf mss, 18 pgs, 1 folding plate, 2 leaves mss",,Ex libris Joachim Firmin Janson; presentation from Perronet; Chammonel,Two titles bound in one with mss titles and headings interleaved,,"Perronet, Jean-Rodolphe",Very good,Yes,,4/7/2019,5/30/2020,,,,,,0
